date,link,visitor,v1H,v2H,vOT,vT,home,h1H,h2H,hOT,hT
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-northwestern.html,Michigan State,26,28,0,54,Northwestern,22,18,0,40
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-oklahoma-state.html,Texas Christian,25,25,0,50,Oklahoma State,39,43,0,82
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-san-diego-state.html,Fresno State,32,28,0,60,San Diego State,31,37,0,68
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-texas-tech.html,Baylor,22,50,0,72,Texas Tech,43,39,0,82
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-george-mason.html,Massachusetts,45,43,0,88,George Mason,47,40,0,87
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-saint-louis.html,St. Bonaventure,27,33,0,60,Saint Louis,28,38,0,66
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-air-force.html,San Jose State,35,27,0,62,Air Force,33,44,0,77
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-akron.html,Miami (OH),25,27,0,52,Akron,24,35,0,59
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-alabama.html,Mississippi State,26,35,0,61,Alabama,38,42,0,80
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-army.html,Holy Cross,32,46,0,78,Army,37,38,0,75
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-boston-university.html,Colgate,27,31,0,58,Boston University,25,41,0,66
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-bowling-green-state.html,Central Michigan,28,29,0,57,Bowling Green State,33,34,0,67
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-california.html,Washington,17,39,0,56,California,30,52,0,82
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-charleston-southern.html,Presbyterian,26,32,0,58,Charleston Southern,52,43,0,95
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-coastal-carolina.html,North Carolina-Asheville,40,38,0,78,Coastal Carolina,36,45,0,81
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-delaware.html,William &amp; Mary,38,33,0,71,Delaware,32,44,0,76
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-detroit-mercy.html,Valparaiso,30,48,0,78,Detroit Mercy,31,39,0,70
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-fordham.html,Dayton,39,41,0,80,Fordham,36,32,0,68
2014-01-15,http://www.sports-reference.com/cbb/boxscores/2014-01-15-high-point.html,Longwood,29,46,0,75,High Point,33,50,0,83
